,time,TD,N,CH
278,2.78000,12.68603,6.79999,3.67993
279,2.79000,12.68943,6.81296,3.67883
280,2.80000,12.69284,6.82592,3.67773
281,2.81000,12.69626,6.83887,3.67662
282,2.82000,12.69968,6.85183,3.67552
283,2.83000,12.70311,6.86477,3.67442
284,2.84000,12.70655,6.87772,3.67331
285,2.85000,12.70999,6.89065,3.67221
286,2.86000,12.71344,6.90359,3.67111
287,2.87000,12.71689,6.91652,3.67001
288,2.88000,12.72035,6.92945,3.66891
289,2.89000,12.72382,6.94237,3.66781
290,2.90000,12.72730,6.95529,3.66671
291,2.91000,12.73078,6.96820,3.66561
292,2.92000,12.73426,6.98111,3.66451
293,2.93000,12.73776,6.99402,3.66341
294,2.94000,12.74126,7.00692,3.66231
295,2.95000,12.74477,7.01982,3.66121
296,2.96000,12.74828,7.03271,3.66011
297,2.97000,12.75180,7.04560,3.65902
298,2.98000,12.75532,7.05849,3.65792
299,2.99000,12.75886,7.07137,3.65682
300,3.00000,12.76240,7.08425,3.65572
301,3.01000,12.76594,7.09712,3.65463
302,3.02000,12.76949,7.10999,3.65353
303,3.03000,12.77305,7.12286,3.65244
304,3.04000,12.77662,7.13572,3.65134
305,3.05000,12.78019,7.14858,3.65025
306,3.06000,12.78376,7.16143,3.64915
307,3.07000,12.78735,7.17428,3.64806
308,3.08000,12.79094,7.18713,3.64696
309,3.09000,12.79454,7.19997,3.64587
310,3.10000,12.79814,7.21281,3.64477
311,3.11000,12.80175,7.22564,3.64368
312,3.12000,12.80536,7.23848,3.64259
313,3.13000,12.80899,7.25130,3.64150
314,3.14000,12.81262,7.26413,3.64040
315,3.15000,12.81625,7.27694,3.63931
316,3.16000,12.81989,7.28976,3.63822
317,3.17000,12.82354,7.30257,3.63713
318,3.18000,12.82719,7.31538,3.63604
319,3.19000,12.83086,7.32818,3.63495
320,3.20000,12.83452,7.34098,3.63386
321,3.21000,12.83820,7.35378,3.63277
322,3.22000,12.84188,7.36657,3.63168
323,3.23000,12.84556,7.37936,3.63059
324,3.24000,12.84926,7.39214,3.62950
325,3.25000,12.85296,7.40492,3.62841
326,3.26000,12.85666,7.41770,3.62732
327,3.27000,12.86037,7.43047,3.62623
328,3.28000,12.86409,7.44324,3.62515
329,3.29000,12.86782,7.45601,3.62406
330,3.30000,12.87155,7.46877,3.62297
331,3.31000,12.87529,7.48153,3.62188
332,3.32000,12.87903,7.49428,3.62080
333,3.33000,12.88278,7.50703,3.61971
334,3.34000,12.88654,7.51978,3.61863
335,3.35000,12.89030,7.53253,3.61754
336,3.36000,12.89407,7.54526,3.61646
337,3.37000,12.89784,7.55800,3.61537
338,3.38000,12.90163,7.57073,3.61429
339,3.39000,12.90542,7.58346,3.61320
340,3.40000,12.90921,7.59619,3.61212
341,3.41000,12.91301,7.60891,3.61103
342,3.42000,12.91682,7.62163,3.60995
343,3.43000,12.92063,7.63434,3.60887
344,3.44000,12.92445,7.64705,3.60779
345,3.45000,12.92828,7.65976,3.60670
346,3.46000,12.93211,7.67246,3.60562
347,3.47000,12.93595,7.68516,3.60454
348,3.48000,12.93980,7.69786,3.60346
349,3.49000,12.94365,7.71055,3.60238
350,3.50000,12.94751,7.72324,3.60130
351,3.51000,12.95137,7.73592,3.60022
352,3.52000,12.95524,7.74861,3.59914
353,3.53000,12.95912,7.76128,3.59806
354,3.54000,12.96301,7.77396,3.59698
355,3.55000,12.96690,7.78663,3.59590
356,3.56000,12.97079,7.79930,3.59482
357,3.57000,12.97470,7.81196,3.59374
358,3.58000,12.97860,7.82462,3.59267
359,3.59000,12.98252,7.83728,3.59159
360,3.60000,12.98644,7.84993,3.59051
361,3.61000,12.99037,7.86258,3.58943
362,3.62000,12.99430,7.87523,3.58836
363,3.63000,12.99825,7.88787,3.58728
364,3.64000,13.00219,7.90051,3.58620
365,3.65000,13.00615,7.91315,3.58513
366,3.66000,13.01011,7.92578,3.58405
367,3.67000,13.01407,7.93841,3.58298
368,3.68000,13.01804,7.95104,3.58190
369,3.69000,13.02202,7.96366,3.58083
370,3.70000,13.02601,7.97628,3.57975
371,3.71000,13.03000,7.98890,3.57868
372,3.72000,13.03400,8.00151,3.57761
373,3.73000,13.03800,8.01412,3.57653
374,3.74000,13.04201,8.02672,3.57546
375,3.75000,13.04603,8.03933,3.57439
376,3.76000,13.05005,8.05193,3.57332
377,3.77000,13.05408,8.06452,3.57225
378,3.78000,13.05811,8.07711,3.57117
379,3.79000,13.06216,8.08970,3.57010
380,3.80000,13.06620,8.10229,3.56903
381,3.81000,13.07026,8.11487,3.56796
382,3.82000,13.07432,8.12745,3.56689
383,3.83000,13.07839,8.14003,3.56582
384,3.84000,13.08246,8.15260,3.56475
385,3.85000,13.08654,8.16517,3.56368
386,3.86000,13.09062,8.17773,3.56261
387,3.87000,13.09472,8.19030,3.56154
388,3.88000,13.09881,8.20286,3.56048
389,3.89000,13.10292,8.21541,3.55941
390,3.90000,13.10703,8.22797,3.55834
391,3.91000,13.11115,8.24052,3.55727
392,3.92000,13.11527,8.25306,3.55621
393,3.93000,13.11940,8.26561,3.55514
394,3.94000,13.12354,8.27815,3.55407
395,3.95000,13.12768,8.29068,3.55301
396,3.96000,13.13183,8.30322,3.55194
397,3.97000,13.13598,8.31575,3.55088
398,3.98000,13.14014,8.32827,3.54981
399,3.99000,13.14431,8.34080,3.54875
400,4.00000,13.14848,8.35332,3.54768
401,4.01000,13.15266,8.36584,3.54662
402,4.02000,13.15685,8.37835,3.54555
403,4.03000,13.16104,8.39086,3.54449
404,4.04000,13.16524,8.40337,3.54343
405,4.05000,13.16944,8.41588,3.54236
406,4.06000,13.17366,8.42838,3.54130
407,4.07000,13.17787,8.44088,3.54024
408,4.08000,13.18210,8.45338,3.53918
409,4.09000,13.18633,8.46587,3.53812
410,4.10000,13.19056,8.47836,3.53705
411,4.11000,13.19480,8.49085,3.53599
412,4.12000,13.19905,8.50333,3.53493
413,4.13000,13.20331,8.51581,3.53387
414,4.14000,13.20757,8.52829,3.53281
415,4.15000,13.21184,8.54076,3.53175
416,4.16000,13.21611,8.55323,3.53069
417,4.17000,13.22039,8.56570,3.52963
418,4.18000,13.22468,8.57817,3.52858
419,4.19000,13.22897,8.59063,3.52752
420,4.20000,13.23327,8.60309,3.52646
421,4.21000,13.23757,8.61555,3.52540
422,4.22000,13.24188,8.62800,3.52434
423,4.23000,13.24620,8.64045,3.52329
424,4.24000,13.25052,8.65290,3.52223
425,4.25000,13.25485,8.66534,3.52117
426,4.26000,13.25919,8.67779,3.52012
427,4.27000,13.26353,8.69023,3.51906
428,4.28000,13.26788,8.70266,3.51801
429,4.29000,13.27223,8.71509,3.51695
430,4.30000,13.27659,8.72752,3.51590
431,4.31000,13.28096,8.73995,3.51484
432,4.32000,13.28533,8.75238,3.51379
433,4.33000,13.28971,8.76480,3.51273
434,4.34000,13.29410,8.77722,3.51168
435,4.35000,13.29849,8.78963,3.51063
436,4.36000,13.30289,8.80205,3.50957
437,4.37000,13.30729,8.81446,3.50852
438,4.38000,13.31170,8.82686,3.50747
439,4.39000,13.31612,8.83927,3.50642
440,4.40000,13.32054,8.85167,3.50536
441,4.41000,13.32497,8.86407,3.50431
442,4.42000,13.32941,8.87646,3.50326
443,4.43000,13.33385,8.88886,3.50221
444,4.44000,13.33829,8.90125,3.50116
445,4.45000,13.34275,8.91363,3.50011
446,4.46000,13.34721,8.92602,3.49906
447,4.47000,13.35167,8.93840,3.49801
